ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,BOROUGH,X,Y,WEBSITE
New York City Anti-Violence Project,GMHC,446 W 33rd Street ,"New York, NY 10001",212-367-1100,,1,1,,1,1,,,,1,,,,,,,1,,,,,1,1,1,1,Serves LGBTQ survivors of intimate partner violence survivors living with HIV,Tuesday and Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,LGBTQ and HIV-affected communities,Manhattan,984587,213816,https://avp.org/
New York County District Attorney's Office,Main Office,1 Hogan Place,"New York, NY 10013",212-335-9040,,1,1,,1,,1,1,,1,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,Witnesses and victims of all crimes committed in New York County ,Monday - Friday: 8:30 am - 6 pm ,,1,,,,,1,,,,,,,Portuguese,1,,,Manhattan,983948,200001,https://Manhattanda.org
New York County District Attorney's Office,Harlem Office,"163 W 125th Street, Room 733","New York, NY 10027",212-864-7884,,1,1,,1,,1,1,,1,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,Witnesses and victims of all crimes committed in New York County ,Monday - Friday: 9 am - 5 pm ,,1,,,,,,,,,,,,,1,,,Manhattan,998796,234042,https://Manhattanda.org
New York County District Attorney's Office,Washington Heights Office,"530 W 166th Street, Suite 6C","New York, NY 10032",212-335-3320,,1,1,,1,,1,1,,,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,Witnesses and victims of all crimes committed in New York County ,Monday - Friday: 9 am - 5 pm ,,1,,,,,,,,,,,,,1,,,Manhattan,1000959,245020,https://Manhattanda.org
New York Legal Assistance Group,,7 Hanover Square ,"New York, NY 10004",212-613-5000,,,,1,1,1,,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,Hebrew,1,,,Manhattan,981573,195784,http://nylag.org/
North Brooklyn Coalition Against Family Violence,,893 Lexington Ave,"Brooklyn, NY 11221",718-302-4073,,1,1,1,1,1,,,,1,,1,1,,1,Support Groups and Therapy (free of charge and no insurance needed) to Victims of Domestic Violence and Sexual Assault,1,1,1,1,,,1,1,1,"We serve all victims regardless of race, ethnicity, sexual orientation, gender or immigration status. All services require appointments to be made by phone or by e-mailing help@northbrooklyncoalition.org or ayuda@northbrooklyncoalition.org ",Monday - Friday: 10 am - 7 pm,,1,,,,,,,,,,,,,1,,Latinx survivors and survivors with immigration challenges,Brooklyn,1005011,190972,www.northbrooklyncoalition.org
Northern Manhattan Improvement Corporation,Washington Heights,45 Wadsworth Avenue,"New York, NY 10031",212-822-8300,,1,1,1,1,1,,,,1,,1,1,1,,,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,Our organization specializes in serving Hispanic/ Latinx survivors.,Manhattan,1001595,247553,http://www.nmic.org/
"Ohel Children's Home and Family Services, Inc.",Tikvah Regional Center,2925A Kings Highway,"Brooklyn, NY 11229",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,1,,1,,Jewish communities,Brooklyn,999455,163805,http://www.ohelfamily.org/
"Ohel Children's Home and Family Services, Inc.",The Kleinman Family OHEL Regional Center,156 Beach 9th Street,"Far Rockaway, NY 11691",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,,,1,,Jewish communities,Queens,1055498,156455,http://www.ohelfamily.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Bronx Child Placement Prevention Program,"3251 Third Avenue, 3rd Floor","Bronx, NY 10456",718-584-6268,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,,Bronx,1009458,239639,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Bushwick Child Placement Prevention Program,"358 Grove Street, 1st Floor","Brooklyn, NY 11237",718-387-5200,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,Brooklyn,1008152,194295,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",East NY Child Placement Prevention Program,2924 Fulton Street ,"Brooklyn, NY 11207",718-647-7520,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Brooklyn,1015653,186684,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Williamsburg Child Placement Prevention Program,"785 Flushing Avenue, 5th Floor","Brooklyn, NY 11206",718-782-7701,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Queens,1000379,194677,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Manhattan Mental Health Clinic,"145 W 15th Street, 5th Floor","New York, NY 10011",212-229-6905,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Manhattan,984831,208499,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Bronx Mental Health Clinic,4123 Third Avenue ,"Bronx, NY 10457",718-299-3045,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Bronx,1012617,247076,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Brooklyn Mental Health Clinic,"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-963-4430,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Brooklyn,1000379,194677,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Home Base Crisis Intervention,"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-963-4430,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Brooklyn,1000379,194677,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Children's Care Coordination (Health Home),"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-596-1320,,1,1,,1,,,,1,,1,1,,1,,,,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Brooklyn,1000379,194677,http://www.prfi.org/
"Puerto Rican Family Institute, Inc. (PRFI)",Adult Care Coordination (Health Home) ,"145 W 15th Street, 6th Floor","New York, NY 10011",212-229-6976,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,1,,Immigrant communities,Manhattan,984831,208499,http://www.prfi.org/
Queens District Attorney's Office Crime Victims Advocate Program ,Queens Criminal Court House ,125-01 Queens Blvd ,"Kew Gardens, NY 11415",718-286-6812,,,1,,1,,,,,1,,1,,,,Service linkages and referrals to additional services,1,1,1,1,1,1,1,1,,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Queens,1032548,198908,http://www.queensda.org/
Richmond County District Attorney's Office Victim Services Unit,,130 Stuyvesant Place,"Staten Island, New York 10301",718-556-6300,,1,1,,1,1,,,,1,,1,,,,"New York State Office of Victim Services claim application assistance, criminal justice advocacy, court accompaniment, assistance with victim impact statements and victim notification registration",,,,,,,,,,,Monday-Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Staten Island,962916,173404,"
http://www.info@rcda.nyc.gov"
Safe Horizon,Queens Family Court,"151-20 Jamaica Avenue , 2nd Floor","Jamaica, NY 11432",718-262-0202,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Queens,1038933,195163,https://www.safehorizon.org/
Safe Horizon,Brooklyn Family Court ,"330 Jay St, 12th Floor","Brooklyn, NY 11201",718-834-7440,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Brooklyn,987662,192339,https://www.safehorizon.org/
Safe Horizon,Bronx Family Court,"900 Sheridan Avenue , Room 1-40 ","Bronx, NY 10451",718-590-2371,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Staten Island Family Court,"30 Bay Street, 5th Floor","Staten Island, NY 10301",718-447-3820,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Staten Island,963043,172942,https://www.safehorizon.org/
Safe Horizon,Manhattan Family Court,"60 Lafayette Street, Room 4C ","New York, NY 10013",212-577-1270,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Manhattan,983491,200373,https://www.safehorizon.org/
Safe Horizon,Queens Criminal Court,"125-01 Queens Boulevard, Room G7 ","Kew Gardens, NY 11415",718-286-6083,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Queens,1032548,198908,https://www.safehorizon.org/
Safe Horizon,Brooklyn Criminal Court,"120 Schermerhorn Street, 6th Floor","Brooklyn, NY 11201",718-834-7476,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Brooklyn,987315,190550,https://www.safehorizon.org/
Safe Horizon,Bronx Criminal Court,"215 E 161 Street, 3rd Floor3-34","Bronx, NY 10451",718-590-2355,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Staten Island Criminal Court,"26 Central Avenue , Lower Level, LL-11 ","Staten Island, NY 10304",718-727-7555,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,Staten Island,962826,172695,https://www.safehorizon.org/
Safe Horizon,Queens Community Office,"63-49 Alderton Street, 2nd Floor","Rego Park, NY 11374",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,Queens,1021596,204027,https://www.safehorizon.org/
Safe Horizon,Brooklyn Community Office,"50 Court Street, 9th Floor","Brooklyn, NY 11201",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Bronx Community Office (BronxWorks),1130 Grand Concourse ,"New York, NY 10035",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Tuesday - Thursday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,Bronx,1006734,242630,https://www.safehorizon.org/
Safe Horizon,Staten Island Community Office,"30 Bay Street, 5th Floor","Staten Island, NY 10301",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Staten Island,963043,172942,https://www.safehorizon.org/
Safe Horizon,Manhattan Community Office,"100 E 122nd Street, 1st Floor","New York, NY 10035",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,1000816,231759,https://www.safehorizon.org/
Safe Horizon,Safe Horizon Counseling Center,"50 Court Street, 9th Floor","Brooklyn, NY 11201",347-328-8110,,1,1,,1,,,,,1,,1,,,,,1,1,1,1,,1,1,1,1,Call to confirm eligibility,"<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 8 pm</li>
  <li>Friday: 9 am - 6 pm</li>
</ul>","
Saturday: 9 am - 4 pm",1,,,,1,1,,,1,,,,,1,,,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Brooklyn Child Advocacy Center,"320 Schermerhorn Street, 1st Floor","Brooklyn, NY 11217",718-330-5400,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 11 pm,Saturday-Sunday: 9 am - 8 pm  ,1,,,,,,,,,1,,1,,1,New York State Central Register of Child Abuse and Maltreatment,,Brooklyn,989325,189574,https://www.safehorizon.org/
Safe Horizon,Queens Child Advocacy Center,"112-25 Queens Boulevard, 3rd Floor","Forest Hills, NY 11375",718-575-1342,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 10 pm,Saturday-Sunday: 11 am - 7 pm,1,,,,,,,,,,,,Hebrew,1,New York State Central Register of Child Abuse and Maltreatment,,Queens,1029658,201063,https://www.safehorizon.org/
Safe Horizon,Staten Island Child Advocacy Center,"130 Stuyvesant Place, 5th Floor ","Staten Island, NY 10301",718-556-4095,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 8 pm,,1,,,,,,,,,,,,Hebrew,,New York State Central Register of Child Abuse and Maltreatment,,Staten Island,962871,173515,https://www.safehorizon.org/
Safe Horizon,Queens Family Justice Center,126-02 82nd Avenue  ,"Kew Gardens, NY 11415",718-575-4500,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,,Queens,1032459,199212,https://www.safehorizon.org/
Safe Horizon,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5111,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,,Brooklyn,987687,192183,https://www.safehorizon.org/
Safe Horizon,Bronx Family Justice Center,"198 E 161st Street, 2nd Floor","Bronx, NY 10451",718-508-1222,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,Bronx,1006186,240244,https://www.safehorizon.org/
Safe Horizon,Domestic Violence Law Project ,"210 Joralemon Street, Suite 608 ","Brooklyn, NY 11201","718-834-7430 
",1101,,,1,,,,,,,,1,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9:30 am - 5:30 pm,,1,,,,,,,,,,,,,1,,,Brooklyn,986876,191440,https://www.safehorizon.org/
Safe Horizon,Immigration Law Project ,"50 Court Street, 8th Floor","Brooklyn, NY 11201",718-943-8632,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9:30 am - 5:30 pm,,1,,,,,,,,,,,,,1,,Survivors of intimate partner violence,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10013",212-602-2800,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,983763,199873,https://www.safehorizon.org/
Safe Horizon,Anti-Trafficking,"50 Court Street, Suite 811","Brooklyn, NY 11201",718-943-8631,,1,1,1,1,1,,,,,,1,,,,,1,,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,Tagalog languages,1,,,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Manhattan Child Advocacy Center,"1753 Park Avenue , 2nd Floor","New York, NY 10035",646-695-6100,,1,1,1,1,,,,,,,1,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 9 pm,,1,,,,,,,,,,,,,1,New York State Central Register of Child Abuse and Maltreatment,,Manhattan,1000816,231759,https://www.safehorizon.org/
Safe Horizon,Bronx Restitution,"215 E 161st Street, Room 3-34D","Bronx, NY 10451",718-590-2366,,,,,,,,,,,,,,,,Restitution Assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,1,,,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Brooklyn Restitution,"120 Schermerhorn Street, 8th Floor, Room 800 ","Brooklyn, NY 11201",718-834-7450,,,,,,,,,,,,,,,,Restitution Assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,1,,,Brooklyn,987315,190550,https://www.safehorizon.org/
Safe Horizon,Manhattan Restitution,"100 Centre Street, 11th Floor- Rm 1102","New York, NY 10013",212-577-1268,,,,,,,,,,,,,,,,Restitution Assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4:30 pm",,1,,,,,,,,,,,,,,,,Manhattan,984033,200169,https://www.safehorizon.org/
Safe Horizon,Queens Restitution,"120-55 Queens Boulevard , Room G6 ","Jamaica, NY 11424",718-286-6730,,,,,,,,,,,,,,,,Restitution Assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,Queens,1031933,199455,https://www.safehorizon.org/
Safe Horizon,Staten Island Restitution,"167 Targee Street, Room B12","Staten Island, NY 10304",718-727-3808,,,,,,,,,,,,,,,,Restitution Assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,Staten Island,960998,166459,https://www.safehorizon.org/
Safe Horizon,Brooklyn Family Court Children's Center,330 Jay Street ,"Brooklyn, NY 11201",347-401-9632,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,1,,,Brooklyn,987662,192339,https://www.safehorizon.org/
Safe Horizon,Staten Island Family Court Children's Center,"18 Richmond Terrace, Room 120","Staten Island, NY 10301",800-621-4763,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,Monday - Friday: 9 am - 1 pm,,1,,,,,,,,,,,,,,,,Staten Island,963051,173536,https://www.safehorizon.org/
Safe Horizon,Brooklyn Criminal Court Children's Center,"120 Schermerhorn Street, 8th Floor","Brooklyn, NY 11201",718-222-1550,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,1,,,Brooklyn,987315,190550,https://www.safehorizon.org/
Safe Horizon,Bronx Family Court Children's Center,"900 Sheridan Avenue, 7th Floor- Room 7-90 ","Bronx, NY 10451",718-618-2191,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 8:30 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,1,,,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Manhattan Family Court Children's Center,60 Lafayette Street ,"New York, NY 10013",646-386-5242,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,1,,,Manhattan,983491,200373,https://www.safehorizon.org/
Safe Horizon,Queens Family Court Children's Center,"151-20 Jamaica Avenue, 1st Floor","Jamaica, NY 11432",718-298-0129,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,1,,,Queens,1038933,195163,https://www.safehorizon.org/
Safe Horizon,Bronx Child Advocacy Center,"1775 Grand Concourse, 5th Floor","Bronx, NY 10453",929-265-3600,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 11 pm,Saturday-Sunday: 9 am - 8 pm  ,1,,,,,,,,,1,,1,,1,New York State Central Register of Child Abuse and Maltreatment,,Bronx,1009040,247682,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 1st Precinct ,16 Ericsson Place,"New York, NY 10013",646-529-1343,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul ><li>Crime advocacy services:<br>Monday - Friday: 8 am - 4 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 12 pm - 4 pm</li></ul>,,,,1,,,,,,,,1,,Hindu,,,,Manhattan,982285,201682,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 7th Precinct ,19 1/2 Pitt Street,"New York, NY 10002",212-477-2385,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,German,,,,Manhattan,988709,200325,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 9th Precinct ,321 E 5th Street ,"New York, NY 10003",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,1,1,,,,,,,,1,,,Manhattan,987624,203977,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 10th Precinct ,230 W 20th Street,"New York, NY 10011",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,1,,,,,,,,1,,,Manhattan,984623,209859,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 13th Precinct ,230 E 21st Street,"New York, NY 10010",212-477-4380,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,1,,,Manhattan,988874,207673,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 17th Precinct ,167 E 51st Street,"New York, NY 10022",212-826-3250,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,1,,,Manhattan,992411,215025,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 18th Precinct ,306 W 54th Street,"New York, NY 10019",212-767-2190,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,1,,,Manhattan,988353,217920,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 20th Precinct ,120 W 82nd Street ,"New York, NY 10024",212-580-6640,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 8 am - 4 pm</li><li>Domestic violence advocacy services:<br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,,,,,,,,,,1,,,Manhattan,991168,224929,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 24th Precinct ,151 W 100th Street ,"New York, NY 10025",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 4 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,1,,,Manhattan,993336,229488,https://www.safehorizon.org/
Safe Horizon,Crime Victim Assistance Program Manhattan 25th Precinct ,120 E 119th Street ,"New York, NY 10035",212-860-0214,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li>Crime advocacy services:<br>Monday - Friday: 12 pm - 8 pm</li><li>Domestic violence advocacy services:<br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,1,,,Manhattan,1000555,230994,https://www.safehorizon.org/
